X,CH1,CH2,
Second,Volt,Volt,
-1.2000000e+01,-8.00000e-02,0.00000e+00,
-1.1960000e+01,0.00000e+00,8.00000e-02,
-1.1920000e+01,-8.00000e-02,-8.00000e-02,
-1.1880000e+01,8.00000e-02,8.00000e-02,
-1.1840000e+01,0.00000e+00,0.00000e+00,
-1.1800000e+01,-1.60000e-01,0.00000e+00,
-1.1759999e+01,-1.60000e-01,-8.00000e-02,
-1.1719999e+01,0.00000e+00,8.00000e-02,
-1.1679999e+01,-8.00000e-02,8.00000e-02,
-1.1639999e+01,8.00000e-02,-8.00000e-02,
-1.1599999e+01,0.00000e+00,0.00000e+00,
-1.1559999e+01,-1.60000e-01,8.00000e-02,
-1.1520000e+01,0.00000e+00,0.00000e+00,
-1.1480000e+01,-8.00000e-02,8.00000e-02,
-1.1440000e+01,0.00000e+00,8.00000e-02,
-1.1400000e+01,-8.00000e-02,-8.00000e-02,
-1.1360000e+01,-8.00000e-02,0.00000e+00,
-1.1320000e+01,0.00000e+00,-8.00000e-02,
-1.1280000e+01,-8.00000e-02,0.00000e+00,
-1.1240000e+01,0.00000e+00,8.00000e-02,
-1.1200000e+01,-8.00000e-02,0.00000e+00,
-1.1160000e+01,0.00000e+00,-8.00000e-02,
-1.1120000e+01,-8.00000e-02,0.00000e+00,
-1.1080000e+01,8.00000e-02,0.00000e+00,
-1.1040000e+01,0.00000e+00,-8.00000e-02,
-1.1000000e+01,-1.60000e-01,8.00000e-02,
-1.0960000e+01,0.00000e+00,0.00000e+00,
-1.0920000e+01,-8.00000e-02,8.00000e-02,
-1.0880000e+01,0.00000e+00,0.00000e+00,
-1.0840000e+01,-1.60000e-01,0.00000e+00,
-1.0800000e+01,-8.00000e-02,0.00000e+00,
-1.0760000e+01,0.00000e+00,8.00000e-02,
-1.0719999e+01,0.00000e+00,8.00000e-02,
-1.0679999e+01,-8.00000e-02,-8.00000e-02,
-1.0639999e+01,0.00000e+00,-8.00000e-02,
-1.0599999e+01,-8.00000e-02,8.00000e-02,
-1.0559999e+01,0.00000e+00,0.00000e+00,
-1.0520000e+01,-8.00000e-02,8.00000e-02,
-1.0480000e+01,-8.00000e-02,8.00000e-02,
-1.0440000e+01,0.00000e+00,-8.00000e-02,
-1.0400000e+01,-8.00000e-02,-8.00000e-02,
-1.0360000e+01,0.00000e+00,8.00000e-02,
-1.0320000e+01,0.00000e+00,8.00000e-02,
-1.0280000e+01,-8.00000e-02,0.00000e+00,
-1.0240000e+01,-8.00000e-02,8.00000e-02,
-1.0200000e+01,0.00000e+00,-8.00000e-02,
-1.0160000e+01,-8.00000e-02,0.00000e+00,
-1.0120000e+01,8.00000e-02,8.00000e-02,
-1.0080000e+01,-8.00000e-02,0.00000e+00,
-1.0040000e+01,7.76000e+00,8.00000e-02,
-1.0000000e+01,7.60000e+00,8.00000e-02,
-9.9600000e+00,7.84000e+00,2.40000e-01,
-9.9200001e+00,7.84000e+00,1.60000e-01,
-9.8800001e+00,7.60000e+00,4.00000e-01,
-9.8400002e+00,7.60000e+00,4.00000e-01,
-9.8000002e+00,7.84000e+00,5.60000e-01,
-9.7600002e+00,7.84000e+00,4.80000e-01,
-9.7199993e+00,7.60000e+00,7.20000e-01,
-9.6799994e+00,7.84000e+00,6.40000e-01,
-9.6399994e+00,7.60000e+00,8.00000e-01,
-9.5999994e+00,7.84000e+00,8.00000e-01,
-9.5599995e+00,7.60000e+00,1.04000e+00,
-9.5199995e+00,7.84000e+00,9.60000e-01,
-9.4799995e+00,7.60000e+00,1.12000e+00,
-9.4399996e+00,7.60000e+00,1.04000e+00,
-9.3999996e+00,7.84000e+00,1.28000e+00,
-9.3599997e+00,7.84000e+00,1.20000e+00,
-9.3199997e+00,7.60000e+00,1.36000e+00,
-9.2799997e+00,7.84000e+00,1.36000e+00,
-9.2399998e+00,7.60000e+00,1.52000e+00,
-9.1999998e+00,7.60000e+00,1.44000e+00,
-9.1599998e+00,7.84000e+00,1.68000e+00,
-9.1199999e+00,7.84000e+00,1.68000e+00,
-9.0799999e+00,7.60000e+00,1.76000e+00,
-9.0400000e+00,7.76000e+00,1.76000e+00,
-9.0000000e+00,7.84000e+00,1.84000e+00,
-8.9600000e+00,7.84000e+00,1.84000e+00,
-8.9200001e+00,7.60000e+00,2.00000e+00,
-8.8800001e+00,7.60000e+00,2.00000e+00,
-8.8400002e+00,7.84000e+00,2.08000e+00,
-8.8000002e+00,7.84000e+00,2.08000e+00,
-8.7600002e+00,7.60000e+00,2.24000e+00,
-8.7200003e+00,7.84000e+00,2.24000e+00,
-8.6799994e+00,7.60000e+00,2.40000e+00,
-8.6399994e+00,7.84000e+00,2.40000e+00,
-8.5999994e+00,7.60000e+00,2.32000e+00,
-8.5599995e+00,7.84000e+00,2.40000e+00,
-8.5199995e+00,7.60000e+00,2.56000e+00,
-8.4799995e+00,7.84000e+00,2.56000e+00,
-8.4399996e+00,7.60000e+00,2.72000e+00,
-8.3999996e+00,7.76000e+00,2.64000e+00,
-8.3599997e+00,7.84000e+00,2.80000e+00,
-8.3199997e+00,7.84000e+00,2.72000e+00,
-8.2799997e+00,7.60000e+00,2.88000e+00,
-8.2399998e+00,7.60000e+00,2.88000e+00,
-8.1999998e+00,7.84000e+00,3.12000e+00,
-8.1599998e+00,7.84000e+00,3.12000e+00,
-8.1199999e+00,7.60000e+00,3.04000e+00,
-8.0799999e+00,7.84000e+00,3.12000e+00,
-8.0400000e+00,7.60000e+00,3.28000e+00,
-8.0000000e+00,7.84000e+00,3.28000e+00,
-7.9600000e+00,7.60000e+00,3.44000e+00,
-7.9199996e+00,7.84000e+00,3.36000e+00,
-7.8799996e+00,7.60000e+00,3.44000e+00,
-7.8399997e+00,7.60000e+00,3.44000e+00,
-7.7999997e+00,7.84000e+00,3.60000e+00,
-7.7599998e+00,7.84000e+00,3.52000e+00,
-7.7199998e+00,7.60000e+00,3.68000e+00,
